"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"31727",48130,"Braquiquito","17/08/2011 11:05","Bajo (2 - 4 mts)",20,"Chico",-68.8301891595,-32.866904449,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"8536",13044,"Morera","15/02/2011 13:08","Alto (> 8 mts)",200,"Grande",-68.8447141381,-32.8647673761,4,"Cuarta Oeste",1173332.70145,0,"medio"
"364",555,"Fresno europeo","09/03/2012 07:54","Alto (> 8 mts)",170,"Grande",-68.818951919,-32.868068028,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
"22469",34071,"Morera","31/05/2011 13:34","Medio (4 - 8 mts)",70,"Grande",-68.8565087673,-32.8850244885,5,"Residencial Sur",2423808.92355,0,"bajo"
"21760",33031,"Jacarand","19/05/2011 10:21","Medio (4 - 8 mts)",55,"Mediano",-68.8517841111,-32.8872687467,5,"Residencial Sur",2423808.92355,0,"bajo"
"24742",37458,"Morera","04/01/2011 11:38","Alto (> 8 mts)",180,"Grande",-68.8578223946,-32.8707672658,6,"Residencial Norte",2694682.37982,0,"medio"
"26082",39426,"Fresno americano","11/11/2010 11:28","Bajo (2 - 4 mts)",60,"Mediano",-68.8552801347,-32.8704149024,6,"Residencial Norte",2694682.37982,0,"bajo"
"8178",12456,"Morera","24/01/2011 14:13","Medio (4 - 8 mts)",89,"Grande",-68.8489267189,-32.8673650678,6,"Residencial Norte",2694682.37982,0,"bajo"
"6786",10372,"Paraiso","24/08/2010 11:28","Alto (> 8 mts)",212,"Grande",-68.8474310522,-32.8739761133,6,"Residencial Norte",2694682.37982,0,"alto"
"18671",28416,"Morera","28/02/2011 12:29","Alto (> 8 mts)",195,"Grande",-68.8464583847,-32.8904341287,2,"Barrio Civico",2366816.36021,0,"medio"
"7531",11490,"Morera","18/02/2011 13:58","Medio (4 - 8 mts)",62,"Grande",-68.8539228987,-32.865217217,6,"Residencial Norte",2694682.37982,0,"bajo"
"6834",10446,"Morera","09/03/2011 13:05","Alto (> 8 mts)",110,"Grande",-68.8560489977,-32.8738310415,6,"Residencial Norte",2694682.37982,0,"medio"
"9809",15078,"Morera","17/11/2011 11:13","Alto (> 8 mts)",118,"Grande",-68.8589762146,-32.8693292246,6,"Residencial Norte",2694682.37982,0,"medio"
"16240",24700,"Morera","14/01/2011 11:49","Alto (> 8 mts)",165,"Grande",-68.8432722273,-32.8963205008,2,"Barrio Civico",2366816.36021,0,"medio"
"12252",18851,"Paraiso","08/08/2011 10:10","Medio (4 - 8 mts)",77,"Grande",-68.8396235398,-32.8700974537,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"6307",9628,"Morera","26/01/2011 09:38","Alto (> 8 mts)",150,"Grande",-68.8497012806,-32.8633548836,6,"Residencial Norte",2694682.37982,0,"medio"
"26416",39945,"Catalpa","28/04/2011 10:11","Medio (4 - 8 mts)",180,"Grande",-68.8449459487,-32.8763919465,1,"Parque Central",1655357.93265,1,"medio"
"14772",22530,"Morera","17/06/2011 09:38","Alto (> 8 mts)",150,"Grande",-68.8611074576,-32.8998227402,5,"Residencial Sur",2423808.92355,0,"medio"
"7925",12073,"Morera","02/02/2010 12:18","Bajo (2 - 4 mts)",73,"Grande",-68.8528474397,-32.8677996529,6,"Residencial Norte",2694682.37982,0,"bajo"
"12229",18811,"Morera","10/08/2011 10:39","Medio (4 - 8 mts)",70,"Grande",-68.8354453485,-32.8697344154,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"3906",6012,"Fresno europeo","02/05/2011 12:06","Medio (4 - 8 mts)",85,"Grande",-68.845954975,-32.8795213386,1,"Parque Central",1655357.93265,0,"bajo"
"26364",39866,"Morera","05/05/2011 10:01","Alto (> 8 mts)",170,"Grande",-68.8445746864,-32.8750080172,1,"Parque Central",1655357.93265,0,"medio"
"1146",1746,"Palo borracho","21/11/2011 11:36","Medio (4 - 8 mts)",110,"Grande",-68.8725932619,-32.8781503671,7,"Residencial Parque",1786336.08966,0,"medio"
"12319",18955,"Morera","04/08/2011 11:33","Alto (> 8 mts)",140,"Grande",-68.8367669547,-32.8688612329,4,"Cuarta Oeste",1173332.70145,1,"medio"
"20109",30553,"Morera","08/02/2011 10:07","Alto (> 8 mts)",90,"Grande",-68.8571988873,-32.8663278022,6,"Residencial Norte",2694682.37982,0,"bajo"
"7875",12005,"Paraiso","10/05/2010 12:46","Alto (> 8 mts)",136,"Grande",-68.8523860628,-32.8687089555,6,"Residencial Norte",2694682.37982,0,"medio"
"7811",11918,"Morera","12/05/2010 12:01","Medio (4 - 8 mts)",120,"Grande",-68.8510865947,-32.8668856555,6,"Residencial Norte",2694682.37982,0,"medio"
"7115",10844,"Perenne","17/03/2011 11:57","Alto (> 8 mts)",71,"Grande",-68.8531110205,-32.878134631,6,"Residencial Norte",2694682.37982,0,"bajo"
"215",337,"Morera","07/03/2012 09:56","Medio (4 - 8 mts)",80,"Grande",-68.8209340192,-32.8677989785,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"22206",33680,"Acacia SP","13/05/2011 10:36","Alto (> 8 mts)",130,"Grande",-68.855470558,-32.8871296463,5,"Residencial Sur",2423808.92355,0,"medio"
"28355",42962,"Fresno europeo","07/10/2011 15:02","Alto (> 8 mts)",148,"Grande",-68.8347616872,-32.8786648187,1,"Parque Central",1655357.93265,0,"medio"
"11200",17290,"Paraiso","04/08/2011 10:56","Medio (4 - 8 mts)",145,"Grande",-68.8368948776,-32.8660463892,4,"Cuarta Oeste",1173332.70145,0,"medio"
"13911",21262,"Fresno americano","14/06/2011 10:21","Medio (4 - 8 mts)",75,"Grande",-68.8535138609,-32.896160531,5,"Residencial Sur",2423808.92355,0,"bajo"
"21462",32562,"Pltano","17/06/2011 11:18","Alto (> 8 mts)",146,"Grande",-68.854205453,-32.890122336,5,"Residencial Sur",2423808.92355,0,"medio"
"25709",38881,"Fresno europeo","09/12/2010 09:43","Bajo (2 - 4 mts)",38,"Mediano",-68.8486180545,-32.8717856381,6,"Residencial Norte",2694682.37982,0,"bajo"
"21843",33152,"Pltano","09/06/2011 09:17","Alto (> 8 mts)",190,"Grande",-68.8530136351,-32.8921903743,5,"Residencial Sur",2423808.92355,0,"medio"
"11162",17224,"Caducifolio","12/08/2011 09:50","Bajo (2 - 4 mts)",90,"Grande",-68.8352777783,-32.8639144769,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"24740",37456,"Fresno europeo","05/01/2011 14:46","Alto (> 8 mts)",200,"Grande",-68.8580845552,-32.8707851195,6,"Residencial Norte",2694682.37982,0,"medio"
"30638",46477,"Morera","17/08/2011 13:54","Alto (> 8 mts)",155,"Grande",-68.8310165912,-32.8684357522,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"25412",38426,"Paraiso sombrilla","04/11/2010 10:51","Alto (> 8 mts)",180,"Grande",-68.851595237,-32.8691873607,6,"Residencial Norte",2694682.37982,0,"medio"
"29705",45064,"Fresno europeo","31/08/2011 12:26","Medio (4 - 8 mts)",155,"Grande",-68.8227497355,-32.8711761021,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
"4092",6299,"Acer","27/06/2011 11:47","Medio (4 - 8 mts)",140,"Grande",-68.858595266,-32.8904027984,5,"Residencial Sur",2423808.92355,0,"medio"
"19691",29923,"Pltano","14/03/2011 12:46","Alto (> 8 mts)",180,"Grande",-68.8404848029,-32.892653656,2,"Barrio Civico",2366816.36021,0,"medio"
"21265",32279,"Fresno europeo","28/06/2011 10:28","Alto (> 8 mts)",200,"Grande",-68.8505665781,-32.8913059292,5,"Residencial Sur",2423808.92355,0,"medio"
"6579",10047,"Fresno europeo","26/10/2010 12:10","Alto (> 8 mts)",150,"Grande",-68.8480488898,-32.8707266592,6,"Residencial Norte",2694682.37982,0,"medio"
"6293",9607,"Fresno europeo","28/01/2011 08:33","Alto (> 8 mts)",70,"Grande",-68.8497911336,-32.8636585798,6,"Residencial Norte",2694682.37982,0,"bajo"
"1641",2485,"Fresno americano","21/10/2011 10:10","Bajo (2 - 4 mts)",30,"Mediano",-68.8374359089,-32.888515805,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"15486",23569,"Ailanthus","01/02/2011 15:39","Alto (> 8 mts)",320,"Grande",-68.8517381918,-32.9026279598,2,"Barrio Civico",2366816.36021,0,"muy alto"
"11501",17736,"Paraiso","18/07/2011 09:59","Bajo (2 - 4 mts)",140,"Grande",-68.8423637409,-32.8671045154,4,"Cuarta Oeste",1173332.70145,0,"medio"
"3067",4701,"Morera","16/08/2011 10:27","Alto (> 8 mts)",160,"Grande",-68.8370136791,-32.8657289157,4,"Cuarta Oeste",1173332.70145,0,"medio"
"20961",31830,"Morera","03/01/2012 09:05","Medio (4 - 8 mts)",60,"Mediano",-68.8590220544,-32.8901737844,5,"Residencial Sur",2423808.92355,1,"bajo"
"13729",21006,"Fresno europeo","22/06/2011 09:21","Medio (4 - 8 mts)",70,"Grande",-68.8625997951,-32.9009212953,5,"Residencial Sur",2423808.92355,0,"bajo"
"9173",14032,"Morera","29/11/2011 16:17","Muy bajo (1 - 2 mts)",7,"Chico",-68.8787582531,-32.8649117262,8,"Aeroparque",2203364.73622,0,"bajo"
"6024",9223,"Fresno europeo","28/02/2011 10:49","Bajo (2 - 4 mts)",52,"Mediano",-68.8495525861,-32.865005756,6,"Residencial Norte",2694682.37982,0,"bajo"
"5778",8870,"Morera","05/05/2010 12:19","Medio (4 - 8 mts)",131,"Grande",-68.8531629154,-32.8683951152,6,"Residencial Norte",2694682.37982,0,"medio"
"23397",35459,"Morera","28/03/2011 13:19","Alto (> 8 mts)",192,"Grande",-68.8540211575,-32.8816120392,6,"Residencial Norte",2694682.37982,0,"medio"
"9793",15053,"Paraiso sombrilla","21/12/2011 16:29","Bajo (2 - 4 mts)",22,"Mediano",-68.881903516,-32.8720760334,8,"Aeroparque",2203364.73622,0,"bajo"
"11830",18213,"Jacarand","05/08/2011 12:05","Medio (4 - 8 mts)",42,"Mediano",-68.8388768287,-32.8680576728,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"24386",36925,"Fresno europeo","07/04/2011 16:11","Medio (4 - 8 mts)",70,"Grande",-68.8587033117,-32.87978036,7,"Residencial Parque",1786336.08966,0,"bajo"
"19115",29096,"Morera","27/04/2011 11:45","Alto (> 8 mts)",185,"Grande",-68.8436605684,-32.8859502739,1,"Parque Central",1655357.93265,0,"medio"
"24640",37295,"Morera","17/03/2011 11:47","Muy bajo (1 - 2 mts)",4,"Chico",-68.8588264198,-32.8747293484,7,"Residencial Parque",1786336.08966,0,"bajo"
"6993",10678,"Morera","28/03/2011 09:14","Medio (4 - 8 mts)",60,"Mediano",-68.850485371,-32.8750454466,6,"Residencial Norte",2694682.37982,0,"bajo"
"30797",46715,"Morera","05/09/2011 09:43","Alto (> 8 mts)",180,"Grande",-68.8322853174,-32.8706237021,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
"4591",7030,"Fresno europeo","13/06/2011 10:51","Alto (> 8 mts)",134,"Grande",-68.8547280612,-32.8981025256,5,"Residencial Sur",2423808.92355,0,"medio"
"10377",16005,"Morera","11/08/2011 08:56","Alto (> 8 mts)",106,"Grande",-68.8437271637,-32.8721778967,4,"Cuarta Oeste",1173332.70145,0,"medio"
"9408",14402,"Jacarand","02/12/2011 10:09","Bajo (2 - 4 mts)",35,"Mediano",-68.878645814,-32.8672603861,8,"Aeroparque",2203364.73622,0,"bajo"
"4121",6340,"Fresno europeo","30/06/2011 14:36","Bajo (2 - 4 mts)",27,"Mediano",-68.8543077445,-32.8903671184,5,"Residencial Sur",2423808.92355,0,"bajo"
"7329",11165,"Fresno americano","19/01/2011 12:00","Bajo (2 - 4 mts)",14,"Chico",-68.8440511103,-32.9005316976,2,"Barrio Civico",2366816.36021,0,"bajo"
"22229",33712,"Paraiso","11/05/2011 09:47","Alto (> 8 mts)",174,"Grande",-68.857106369,-32.8871659625,5,"Residencial Sur",2423808.92355,0,"medio"
"4700",7208,"Morera","16/06/2011 09:30","Alto (> 8 mts)",111,"Grande",-68.8600729241,-32.8981723254,5,"Residencial Sur",2423808.92355,0,"medio"
"5900",9045,"Fresno europeo","11/01/2011 10:31","Medio (4 - 8 mts)",45,"Mediano",-68.8444206998,-32.8660741204,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"20150",30611,"Aguaribay","11/02/2011 12:31","Alto (> 8 mts)",205,"Grande",-68.857863499,-32.8634746462,6,"Residencial Norte",2694682.37982,0,"alto"
"21287",32308,"Pltano","29/06/2011 08:59","Alto (> 8 mts)",170,"Grande",-68.8521355831,-32.8916122558,5,"Residencial Sur",2423808.92355,0,"medio"
"13270",20346,"Morera","13/05/2011 10:35","Alto (> 8 mts)",87,"Grande",-68.8604202448,-32.8920863683,5,"Residencial Sur",2423808.92355,0,"bajo"
"30641",46481,"Fresno europeo","17/08/2011 13:46","Alto (> 8 mts)",85,"Grande",-68.8306701294,-32.868469458,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"20037",30438,"Pltano","21/02/2011 10:02","Alto (> 8 mts)",226,"Grande",-68.8419706054,-32.8879708253,3,"Parque O'Higgins",1531146.02653,1,"alto"
"27723",41967,"Morera","20/04/2011 13:39","Alto (> 8 mts)",158,"Grande",-68.8375806959,-32.8788284425,1,"Parque Central",1655357.93265,0,"medio"
"5502",8426,"Jacarand","15/02/2011 15:15","Medio (4 - 8 mts)",42,"Mediano",-68.8375618857,-32.9009487781,2,"Barrio Civico",2366816.36021,0,"bajo"
"5757",8840,"Fresno europeo","31/01/2011 14:00","Bajo (2 - 4 mts)",35,"Mediano",-68.8538611793,-32.8673020606,6,"Residencial Norte",2694682.37982,0,"bajo"
"7932",12084,"Morera","04/02/2010 13:07","Alto (> 8 mts)",127,"Grande",-68.853245641,-32.8683164104,6,"Residencial Norte",2694682.37982,0,"medio"
"15415",23453,"Acacia SP","24/01/2011 14:53","Muy bajo (1 - 2 mts)",5,"Chico",-68.8487147249,-32.9018927971,2,"Barrio Civico",2366816.36021,0,"bajo"
"17998",27415,"Fresno americano","25/10/2011 09:52","Medio (4 - 8 mts)",128,"Grande",-68.8356855255,-32.8926315443,3,"Parque O'Higgins",1531146.02653,0,"medio"
"28932",43852,"Fresno europeo","07/10/2011 09:19","Bajo (2 - 4 mts)",36,"Mediano",-68.8298349977,-32.8840264107,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"25850",39100,"Morera","23/12/2010 10:48","Alto (> 8 mts)",75,"Grande",-68.8539882154,-32.871200144,6,"Residencial Norte",2694682.37982,0,"bajo"
"3355",5141,"Acacia SP","08/08/2011 10:58","Muy bajo (1 - 2 mts)",5,"Chico",-68.8434422937,-32.8698624711,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"9343",14311,"Aguaribay","06/12/2011 09:34","Bajo (2 - 4 mts)",25,"Mediano",-68.8769661067,-32.8676157194,8,"Aeroparque",2203364.73622,0,"bajo"
"14943",22793,"Pltano","17/06/2011 16:59","Alto (> 8 mts)",98,"Grande",-68.859133981,-32.901686905,5,"Residencial Sur",2423808.92355,0,"bajo"
"17788",27086,"Pltano","27/10/2011 09:48","Alto (> 8 mts)",190,"Grande",-68.8380087594,-32.8895839131,3,"Parque O'Higgins",1531146.02653,0,"medio"
"17615",26831,"Morera","09/11/2011 11:47","Alto (> 8 mts)",195,"Grande",-68.8330568695,-32.8937807961,3,"Parque O'Higgins",1531146.02653,1,"medio"
"7128",10865,"Paraiso","30/03/2011 10:16","Alto (> 8 mts)",84,"Grande",-68.8513048174,-32.8787521386,6,"Residencial Norte",2694682.37982,1,"bajo"
"13238",20300,"Morera","17/05/2011 09:21","Alto (> 8 mts)",98,"Grande",-68.8602851844,-32.8926799813,5,"Residencial Sur",2423808.92355,0,"bajo"
"7587",11578,"Paraiso","10/05/2010 12:05","Medio (4 - 8 mts)",137,"Grande",-68.8518599306,-32.8668550801,6,"Residencial Norte",2694682.37982,0,"medio"
"31051",47101,"Pltano","23/09/2011 10:24","Alto (> 8 mts)",220,"Grande",-68.8347355245,-32.8733483476,4,"Cuarta Este Área Fundacional",1822015.85685,0,"alto"
"16957",25832,"Morera","03/02/2011 18:38","Alto (> 8 mts)",142,"Grande",-68.8395536941,-32.9022207731,2,"Barrio Civico",2366816.36021,0,"medio"
"14376",21957,"Fresno europeo","30/05/2011 12:26","Alto (> 8 mts)",110,"Grande",-68.8573545572,-32.8944670708,5,"Residencial Sur",2423808.92355,0,"medio"
"20960",31829,"Morera","03/01/2012 09:07","Medio (4 - 8 mts)",55,"Mediano",-68.8590212674,-32.890130863,5,"Residencial Sur",2423808.92355,0,"bajo"
"26519",40100,"Morera","15/04/2011 08:54","Medio (4 - 8 mts)",120,"Grande",-68.8449524767,-32.8802532755,1,"Parque Central",1655357.93265,0,"medio"
"26007",39318,"Morera","30/12/2010 12:08","Alto (> 8 mts)",170,"Grande",-68.8560072778,-32.8715617718,6,"Residencial Norte",2694682.37982,0,"medio"
"11394",17563,"Morera","28/07/2011 10:01","Alto (> 8 mts)",160,"Grande",-68.8410942073,-32.8670429466,4,"Cuarta Oeste",1173332.70145,0,"medio"
"13691",20952,"Fresno europeo","27/05/2011 12:23","Medio (4 - 8 mts)",85,"Grande",-68.8620534305,-32.8944160771,5,"Residencial Sur",2423808.92355,0,"bajo"
"6759",10327,"Paraiso sombrilla","26/11/2010 13:30","Bajo (2 - 4 mts)",30,"Mediano",-68.857336913,-32.8721530845,6,"Residencial Norte",2694682.37982,0,"bajo"
"1570",2384,"Fresno americano","31/10/2011 14:44","Bajo (2 - 4 mts)",46,"Mediano",-68.8378219972,-32.8859428273,3,"Parque O'Higgins",1531146.02653,1,"bajo"
"1053",1601,"Paraiso sombrilla","24/11/2011 10:24","Bajo (2 - 4 mts)",66,"Grande",-68.8717653972,-32.8796329198,7,"Residencial Parque",1786336.08966,0,"bajo"
