"id","especie","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","inclinacion_peligrosa","cric_tronco_cm_cat","cric_diamtero_cm","esbeltez","rareza_de_altura"
22,"Fresno europeo","Bajo (2 - 4 mts)",60,"Mediano",-68.8562696772,-32.8959249395,"5",0,"bajo",188.4,376.8,"raro"
24,"Fresno europeo","Bajo (2 - 4 mts)",44,"Mediano",-68.8560821871,-32.8959409192,"5",0,"bajo",138.16,276.32,"raro"
25,"Fresno europeo","Bajo (2 - 4 mts)",70,"Grande",-68.8559930265,-32.8959464079,"5",0,"bajo",219.8,439.6,"raro"
26,"Morera","Medio (4 - 8 mts)",190,"Grande",-68.8559333348,-32.8959537934,"5",0,"medio",596.6,1789.8,"normal"
27,"Jacarand","Bajo (2 - 4 mts)",18,"Chico",-68.8558670144,-32.8959593075,"5",0,"bajo",56.52,113.04,"normal"
29,"Fresno europeo","Bajo (2 - 4 mts)",70,"Grande",-68.8557244552,-32.8959760507,"5",0,"bajo",219.8,439.6,"raro"
32,"Fresno europeo","Medio (4 - 8 mts)",50,"Mediano",-68.8554957289,-32.8960635292,"5",0,"bajo",157,471,"muy común"
33,"Morera","Medio (4 - 8 mts)",130,"Grande",-68.8554978524,-32.896116955,"5",0,"medio",408.2,1224.6,"normal"
36,"Morera","Medio (4 - 8 mts)",180,"Grande",-68.8555115869,-32.8962997301,"5",0,"medio",565.2,1695.6,"normal"
37,"Morera","Bajo (2 - 4 mts)",40,"Mediano",-68.8555173886,-32.89637069,"5",0,"bajo",125.6,251.2,"raro"
38,"Fresno europeo","Bajo (2 - 4 mts)",54,"Mediano",-68.8555195434,-32.8964048593,"5",0,"bajo",169.56,339.12,"raro"
39,"Morera","Medio (4 - 8 mts)",50,"Mediano",-68.8555247378,-32.896472695,"5",1,"bajo",157,471,"normal"
40,"Fresno europeo","Medio (4 - 8 mts)",140,"Grande",-68.8555275959,-32.8965286068,"5",0,"medio",439.6,1318.8,"muy común"
41,"Fresno europeo","Bajo (2 - 4 mts)",38,"Mediano",-68.8555333966,-32.8965863857,"5",0,"bajo",119.32,238.64,"raro"
42,"Jacarand","Medio (4 - 8 mts)",40,"Mediano",-68.8555384332,-32.8966506469,"5",0,"bajo",125.6,376.8,"muy común"
43,"Olmo bola","Medio (4 - 8 mts)",160,"Grande",-68.8555456877,-32.8967214732,"5",0,"medio",502.4,1507.2,"muy común"
45,"Fresno americano","Medio (4 - 8 mts)",70,"Grande",-68.8555550606,-32.8968475873,"5",0,"bajo",219.8,659.4,"muy común"
46,"Fresno europeo","Bajo (2 - 4 mts)",16,"Chico",-68.8556066986,-32.8968926954,"5",0,"bajo",50.24,100.48,"raro"
47,"Morera","Medio (4 - 8 mts)",150,"Grande",-68.8557135396,-32.8968884698,"5",0,"medio",471,1413,"normal"
50,"Fresno europeo","Medio (4 - 8 mts)",160,"Grande",-68.8559959252,-32.8968869126,"5",0,"medio",502.4,1507.2,"muy común"
54,"Morera","Medio (4 - 8 mts)",180,"Grande",-68.8563977544,-32.8968842892,"5",0,"medio",565.2,1695.6,"normal"
55,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8564928055,-32.8968819132,"5",0,"medio",376.8,1130.4,"normal"
56,"Fresno americano","Bajo (2 - 4 mts)",22,"Mediano",-68.8565517502,-32.8968807383,"5",0,"bajo",69.08,138.16,"raro"
57,"Jacarand","Medio (4 - 8 mts)",60,"Mediano",-68.8566003809,-32.8968795525,"5",0,"bajo",188.4,565.2,"muy común"
58,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8566897621,-32.8968080147,"5",0,"medio",345.4,1036.2,"normal"
59,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8566854205,-32.8967589352,"5",0,"medio",345.4,1036.2,"normal"
63,"Fresno europeo","Bajo (2 - 4 mts)",22,"Mediano",-68.8566640973,-32.8965521495,"5",0,"bajo",69.08,138.16,"raro"
64,"Fresno europeo","Bajo (2 - 4 mts)",50,"Mediano",-68.8566631466,-32.8965007268,"5",0,"bajo",157,314,"raro"
65,"Fresno europeo","Bajo (2 - 4 mts)",60,"Mediano",-68.8566745934,-32.8964536752,"5",0,"bajo",188.4,376.8,"raro"
67,"Olmo comun","Medio (4 - 8 mts)",110,"Grande",-68.8567741669,-32.8963498613,"5",0,"medio",345.4,1036.2,"normal"
70,"Fresno europeo","Bajo (2 - 4 mts)",20,"Chico",-68.8569471413,-32.896200889,"5",0,"bajo",62.8,125.6,"raro"
71,"Conifera","Medio (4 - 8 mts)",80,"Grande",-68.8570000164,-32.8961607332,"5",0,"bajo",251.2,753.6,"normal"
72,"Fresno americano","Bajo (2 - 4 mts)",18,"Chico",-68.8570207182,-32.8961433254,"5",0,"bajo",56.52,113.04,"raro"
74,"Fresno americano","Bajo (2 - 4 mts)",24,"Mediano",-68.857099465,-32.8961049763,"5",0,"bajo",75.36,150.72,"raro"
75,"Fresno europeo","Bajo (2 - 4 mts)",38,"Mediano",-68.8571470338,-32.8960945728,"5",0,"bajo",119.32,238.64,"raro"
76,"Fresno europeo","Bajo (2 - 4 mts)",14,"Chico",-68.8571997744,-32.8960815595,"5",0,"bajo",43.96,87.92,"raro"
77,"Fresno europeo","Bajo (2 - 4 mts)",30,"Mediano",-68.8572680225,-32.8960676918,"5",0,"bajo",94.2,188.4,"raro"
78,"Fresno americano","Bajo (2 - 4 mts)",20,"Chico",-68.8573362717,-32.8960538251,"5",0,"bajo",62.8,125.6,"raro"
79,"Fresno europeo","Bajo (2 - 4 mts)",28,"Mediano",-68.8573962494,-32.8960399488,"5",0,"bajo",87.92,175.84,"raro"
80,"Fresno europeo","Bajo (2 - 4 mts)",32,"Mediano",-68.8569717785,-32.9018553116,"5",0,"bajo",100.48,200.96,"raro"
81,"Fresno americano","Bajo (2 - 4 mts)",36,"Mediano",-68.8569036408,-32.9018688672,"5",0,"bajo",113.04,226.08,"raro"
82,"Fresno americano","Bajo (2 - 4 mts)",40,"Mediano",-68.856861979,-32.901873777,"5",1,"bajo",125.6,251.2,"raro"
84,"Fresno americano","Bajo (2 - 4 mts)",24,"Mediano",-68.8566761685,-32.9018764604,"5",0,"bajo",75.36,150.72,"raro"
85,"Fresno europeo","Bajo (2 - 4 mts)",36,"Mediano",-68.85658883,-32.9018751105,"5",0,"bajo",113.04,226.08,"raro"
87,"Acer","Bajo (2 - 4 mts)",50,"Mediano",-68.8564294551,-32.9018902112,"5",0,"bajo",157,314,"raro"
88,"Morera","Bajo (2 - 4 mts)",50,"Mediano",-68.8563808316,-32.9019005023,"5",0,"bajo",157,314,"raro"
89,"Fresno europeo","Bajo (2 - 4 mts)",40,"Mediano",-68.8562723706,-32.9019206477,"5",0,"bajo",125.6,251.2,"raro"
90,"Fresno europeo","Bajo (2 - 4 mts)",30,"Mediano",-68.8562086466,-32.9019325551,"5",0,"bajo",94.2,188.4,"raro"
91,"Fresno europeo","Bajo (2 - 4 mts)",32,"Mediano",-68.856128661,-32.9019489704,"5",0,"bajo",100.48,200.96,"raro"
93,"Morera","Medio (4 - 8 mts)",140,"Grande",-68.8559831011,-32.9019032972,"5",0,"medio",439.6,1318.8,"normal"
94,"Morera","Bajo (2 - 4 mts)",40,"Mediano",-68.8559767703,-32.9018780886,"5",0,"bajo",125.6,251.2,"raro"
95,"Morera","Bajo (2 - 4 mts)",44,"Mediano",-68.8559778475,-32.9018181842,"5",0,"bajo",138.16,276.32,"raro"
96,"Fresno europeo","Bajo (2 - 4 mts)",36,"Mediano",-68.8559749632,-32.9017834767,"5",0,"bajo",113.04,226.08,"raro"
97,"Pltano","Medio (4 - 8 mts)",180,"Grande",-68.8560408923,-32.9017272402,"5",0,"medio",565.2,1695.6,"normal"
98,"Olmo comun","Bajo (2 - 4 mts)",40,"Mediano",-68.8561006803,-32.9017260692,"5",0,"bajo",125.6,251.2,"raro"
99,"Pltano","Bajo (2 - 4 mts)",160,"Grande",-68.8562045722,-32.9017241239,"5",0,"medio",502.4,1004.8,"raro"
100,"Pltano","Bajo (2 - 4 mts)",164,"Grande",-68.8562884675,-32.901722976,"5",0,"medio",514.96,1029.92,"raro"
101,"Pltano","Medio (4 - 8 mts)",160,"Grande",-68.8564013151,-32.9017206089,"5",0,"medio",502.4,1507.2,"normal"
104,"Pltano","Medio (4 - 8 mts)",180,"Grande",-68.8565979452,-32.9017199996,"5",0,"medio",565.2,1695.6,"normal"
105,"Pltano","Medio (4 - 8 mts)",180,"Grande",-68.8566932262,-32.9017201088,"5",0,"medio",565.2,1695.6,"normal"
106,"Perenne","Bajo (2 - 4 mts)",100,"Grande",-68.8567481144,-32.901717693,"5",0,"bajo",314,628,"muy común"
107,"Pltano","Medio (4 - 8 mts)",180,"Grande",-68.8568847571,-32.9017166601,"5",0,"medio",565.2,1695.6,"normal"
108,"Pltano","Alto (> 8 mts)",180,"Grande",-68.8569135597,-32.9017174677,"5",0,"medio",565.2,565.2,"muy común"
109,"Pltano","Alto (> 8 mts)",160,"Grande",-68.8569917003,-32.9017175571,"5",0,"medio",502.4,502.4,"muy común"
112,"Morera","Bajo (2 - 4 mts)",22,"Mediano",-68.8569770778,-32.8635909097,"6",0,"bajo",69.08,138.16,"raro"
113,"Acer","Bajo (2 - 4 mts)",90,"Grande",-68.8568439381,-32.8635872967,"6",0,"bajo",282.6,565.2,"raro"
114,"Liquidambar","Muy bajo (1 - 2 mts)",8,"Chico",-68.8567764294,-32.8635820428,"6",0,"bajo",25.12,100.48,"raro"
116,"Jacarand","Muy bajo (1 - 2 mts)",6,"Chico",-68.8566379938,-32.8635749808,"6",0,"bajo",18.84,75.36,"muy raro"
117,"Acer","Medio (4 - 8 mts)",80,"Grande",-68.8565642207,-32.8636422827,"6",0,"bajo",251.2,753.6,"muy común"
118,"Acer","Medio (4 - 8 mts)",100,"Grande",-68.8565709627,-32.863691184,"6",0,"bajo",314,942,"muy común"
121,"Morera","Bajo (2 - 4 mts)",16,"Chico",-68.8565817275,-32.8638083644,"6",0,"bajo",50.24,100.48,"raro"
124,"Ailanthus","Bajo (2 - 4 mts)",80,"Grande",-68.8567009475,-32.8640296437,"6",0,"bajo",251.2,502.4,"raro"
126,"Jacarand","Bajo (2 - 4 mts)",46,"Mediano",-68.8569444054,-32.8640397021,"6",0,"bajo",144.44,288.88,"normal"
129,"Braquiquito","Bajo (2 - 4 mts)",64,"Grande",-68.857172859,-32.8640514669,"6",0,"bajo",200.96,401.92,"normal"
130,"Liquidambar","Bajo (2 - 4 mts)",24,"Mediano",-68.8572705072,-32.8640573664,"6",0,"bajo",75.36,150.72,"muy común"
132,"Paraiso sombrilla","Medio (4 - 8 mts)",100,"Grande",-68.8574609712,-32.8640650829,"6",0,"bajo",314,942,"muy común"
133,"Paraiso sombrilla","Medio (4 - 8 mts)",90,"Grande",-68.8576602822,-32.8640745531,"6",0,"bajo",282.6,847.8,"muy común"
134,"Paraiso sombrilla","Medio (4 - 8 mts)",120,"Grande",-68.8577134749,-32.8640769147,"6",0,"medio",376.8,1130.4,"muy común"
135,"Morera","Bajo (2 - 4 mts)",36,"Mediano",-68.8578008863,-32.8640816488,"6",0,"bajo",113.04,226.08,"raro"
136,"Morera","Bajo (2 - 4 mts)",24,"Mediano",-68.8578758998,-32.864085761,"6",0,"bajo",75.36,150.72,"raro"
137,"Morera","Medio (4 - 8 mts)",80,"Grande",-68.8579538039,-32.8640881831,"6",0,"bajo",251.2,753.6,"normal"
138,"Morera","Medio (4 - 8 mts)",80,"Grande",-68.858020634,-32.8640911354,"6",0,"bajo",251.2,753.6,"normal"
139,"Morera","Bajo (2 - 4 mts)",14,"Chico",-68.8580617576,-32.8640923606,"6",0,"bajo",43.96,87.92,"raro"
140,"Fresno europeo","Bajo (2 - 4 mts)",36,"Mediano",-68.8581197222,-32.8640958771,"6",0,"bajo",113.04,226.08,"raro"
143,"Caducifolio","Bajo (2 - 4 mts)",44,"Mediano",-68.8583297629,-32.8641070446,"6",0,"bajo",138.16,276.32,"normal"
145,"Fresno europeo","Muy bajo (1 - 2 mts)",4,"Chico",-68.8581808708,-32.8642127881,"6",0,"bajo",12.56,50.24,"muy raro"
146,"Fresno europeo","Muy bajo (1 - 2 mts)",14,"Chico",-68.8580854,-32.8642075023,"6",0,"bajo",43.96,175.84,"muy raro"
147,"Fresno europeo","Muy bajo (1 - 2 mts)",7,"Chico",-68.8580028841,-32.8642039579,"6",0,"bajo",21.98,87.92,"muy raro"
148,"Paraiso","Bajo (2 - 4 mts)",120,"Grande",-68.8579576256,-32.864202141,"6",0,"medio",376.8,753.6,"raro"
149,"Paraiso","Bajo (2 - 4 mts)",60,"Mediano",-68.8578812477,-32.8641980282,"6",0,"bajo",188.4,376.8,"raro"
150,"Jacarand","Bajo (2 - 4 mts)",30,"Mediano",-68.857820378,-32.8641944866,"6",0,"bajo",94.2,188.4,"normal"
151,"Paraiso sombrilla","Bajo (2 - 4 mts)",42,"Mediano",-68.857754913,-32.8641909605,"6",0,"bajo",131.88,263.76,"normal"
153,"Jacarand","Medio (4 - 8 mts)",56,"Mediano",-68.8576246578,-32.8641856357,"6",0,"bajo",175.84,527.52,"muy común"
154,"Braquiquito","Bajo (2 - 4 mts)",50,"Mediano",-68.8575776041,-32.8641832819,"6",0,"bajo",157,314,"normal"
155,"Fresno europeo","Bajo (2 - 4 mts)",24,"Mediano",-68.8575412426,-32.8641826418,"6",0,"bajo",75.36,150.72,"raro"
159,"Fresno europeo","Bajo (2 - 4 mts)",20,"Chico",-68.857346078,-32.8641697479,"6",0,"bajo",62.8,125.6,"raro"
161,"Paraiso sombrilla","Bajo (2 - 4 mts)",100,"Grande",-68.8571537012,-32.8641614654,"6",0,"bajo",314,628,"normal"
162,"Paraiso sombrilla","Bajo (2 - 4 mts)",80,"Grande",-68.8570880942,-32.8641579352,"6",0,"bajo",251.2,502.4,"normal"
165,"Paraiso","Medio (4 - 8 mts)",60,"Mediano",-68.8568438587,-32.8641461494,"6",0,"bajo",188.4,565.2,"normal"
166,"Paraiso","Bajo (2 - 4 mts)",50,"Mediano",-68.8567592135,-32.8641420301,"6",0,"bajo",157,314,"raro"
168,"Paraiso","Bajo (2 - 4 mts)",40,"Mediano",-68.8566239237,-32.8642132741,"6",0,"bajo",125.6,251.2,"raro"
170,"Paraiso","Medio (4 - 8 mts)",60,"Mediano",-68.8566366649,-32.8643478911,"6",0,"bajo",188.4,565.2,"normal"
172,"Paraiso sombrilla","Bajo (2 - 4 mts)",46,"Mediano",-68.8566542225,-32.8645104625,"6",0,"bajo",144.44,288.88,"normal"
173,"Paraiso sombrilla","Bajo (2 - 4 mts)",40,"Mediano",-68.8567490006,-32.8645912485,"6",0,"bajo",125.6,251.2,"normal"
177,"Fresno europeo","Bajo (2 - 4 mts)",40,"Mediano",-68.8570554083,-32.8646059999,"6",0,"bajo",125.6,251.2,"raro"
179,"Braquiquito","Medio (4 - 8 mts)",54,"Mediano",-68.8571762698,-32.8646124751,"6",0,"bajo",169.56,508.68,"muy común"
180,"Morera","Bajo (2 - 4 mts)",44,"Mediano",-68.8572069582,-32.8646130845,"6",0,"bajo",138.16,276.32,"raro"
181,"Braquiquito","Muy bajo (1 - 2 mts)",16,"Chico",-68.8572437821,-32.8646160029,"6",0,"bajo",50.24,200.96,"muy raro"
182,"Morera","Bajo (2 - 4 mts)",50,"Mediano",-68.8572935648,-32.8646183608,"6",0,"bajo",157,314,"raro"
185,"Aguaribay","Medio (4 - 8 mts)",130,"Grande",-68.8575229985,-32.8646301785,"6",0,"medio",408.2,1224.6,"muy común"
186,"Morera","Bajo (2 - 4 mts)",26,"Mediano",-68.8575959693,-32.864633138,"6",0,"bajo",81.64,163.28,"raro"
187,"Morera","Bajo (2 - 4 mts)",48,"Mediano",-68.8576696196,-32.8646360973,"6",0,"bajo",150.72,301.44,"raro"
188,"Paraiso sombrilla","Bajo (2 - 4 mts)",100,"Grande",-68.857935699,-32.8646507998,"6",0,"bajo",314,628,"normal"
189,"Prunas","Bajo (2 - 4 mts)",22,"Mediano",-68.8580176954,-32.8646533329,"6",0,"bajo",69.08,138.16,"muy común"
190,"Paraiso sombrilla","Bajo (2 - 4 mts)",60,"Mediano",-68.8580625525,-32.8646558255,"6",0,"bajo",188.4,376.8,"normal"
193,"Tilo","Bajo (2 - 4 mts)",14,"Chico",-68.8581957622,-32.8646641135,"6",0,"bajo",43.96,87.92,"normal"
194,"Acer","Bajo (2 - 4 mts)",30,"Mediano",-68.858256053,-32.8646670294,"6",0,"bajo",94.2,188.4,"raro"
195,"Fresno americano","Bajo (2 - 4 mts)",22,"Mediano",-68.8582956045,-32.8646687008,"6",0,"bajo",69.08,138.16,"raro"
196,"Morera","Muy bajo (1 - 2 mts)",22,"Mediano",-68.8583293667,-32.8646707742,"6",0,"bajo",69.08,276.32,"muy raro"
198,"Fresno europeo","Bajo (2 - 4 mts)",20,"Chico",-68.8584029873,-32.8645344121,"6",0,"bajo",62.8,125.6,"raro"
199,"Fresno americano","Bajo (2 - 4 mts)",28,"Mediano",-68.8584021085,-32.8644803013,"6",0,"bajo",87.92,175.84,"raro"
200,"Morera","Bajo (2 - 4 mts)",26,"Mediano",-68.8583997538,-32.8644385862,"6",0,"bajo",81.64,163.28,"raro"
204,"Morera","Alto (> 8 mts)",130,"Grande",-68.8393721078,-32.8705776557,"4",1,"medio",408.2,408.2,"muy común"
205,"Morera","Muy bajo (1 - 2 mts)",2,"Chico",-68.8393497818,-32.8705100171,"4",0,"bajo",6.28,25.12,"muy raro"
208,"Olmo bola","Medio (4 - 8 mts)",65,"Grande",-68.8393090184,-32.8703372173,"4",0,"bajo",204.1,612.3,"muy común"
211,"Fresno americano","Medio (4 - 8 mts)",40,"Mediano",-68.8392752324,-32.8702071153,"4",1,"bajo",125.6,376.8,"muy común"
213,"Morera","Alto (> 8 mts)",180,"Grande",-68.839244618,-32.8700981206,"4",0,"medio",565.2,565.2,"muy común"
215,"Pltano","Alto (> 8 mts)",200,"Grande",-68.8389727497,-32.8699815525,"4",0,"medio",628,628,"muy común"
216,"Fresno europeo","Bajo (2 - 4 mts)",18,"Chico",-68.8388720729,-32.8699760145,"4",0,"bajo",56.52,113.04,"raro"
217,"Fresno europeo","Bajo (2 - 4 mts)",18,"Chico",-68.8388182088,-32.8699721589,"4",0,"bajo",56.52,113.04,"raro"
218,"Pltano","Alto (> 8 mts)",170,"Grande",-68.8387341999,-32.8699698865,"4",1,"medio",533.8,533.8,"muy común"
219,"Pltano","Alto (> 8 mts)",180,"Grande",-68.8386777703,-32.8699654865,"4",0,"medio",565.2,565.2,"muy común"
220,"Fresno americano","Medio (4 - 8 mts)",105,"Grande",-68.8386264688,-32.8699632581,"4",0,"medio",329.7,989.1,"muy común"
222,"Fresno europeo","Alto (> 8 mts)",125,"Grande",-68.8384548507,-32.8699559989,"4",0,"medio",392.5,392.5,"normal"
223,"Fresno europeo","Muy bajo (1 - 2 mts)",16,"Chico",-68.8383855905,-32.8699559094,"4",0,"bajo",50.24,200.96,"muy raro"
224,"Pltano","Alto (> 8 mts)",200,"Grande",-68.8383028656,-32.8699520163,"4",0,"medio",628,628,"muy común"
226,"Fresno americano","Medio (4 - 8 mts)",118,"Grande",-68.8380796956,-32.8699463184,"4",0,"medio",370.52,1111.56,"muy común"
228,"Pltano","Alto (> 8 mts)",180,"Grande",-68.8380639089,-32.8700831815,"4",0,"medio",565.2,565.2,"muy común"
230,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8380983294,-32.8702159238,"4",1,"medio",376.8,1130.4,"normal"
231,"Jacarand","Bajo (2 - 4 mts)",25,"Mediano",-68.8381161635,-32.8702836173,"4",1,"bajo",78.5,157,"normal"
232,"Paraiso","Medio (4 - 8 mts)",90,"Grande",-68.8381238125,-32.8703090495,"4",0,"bajo",282.6,847.8,"normal"
233,"Morera","Medio (4 - 8 mts)",70,"Grande",-68.838138476,-32.8703616535,"4",1,"bajo",219.8,659.4,"normal"
234,"Pltano","Alto (> 8 mts)",165,"Grande",-68.8381569483,-32.8704309717,"4",0,"medio",518.1,518.1,"muy común"
235,"Pltano","Alto (> 8 mts)",170,"Grande",-68.8381639122,-32.8704812818,"4",0,"medio",533.8,533.8,"muy común"
237,"Morera","Medio (4 - 8 mts)",35,"Mediano",-68.8383248382,-32.8705394661,"4",0,"bajo",109.9,329.7,"normal"
239,"Olmo bola","Medio (4 - 8 mts)",110,"Grande",-68.8385301422,-32.8705570438,"4",0,"medio",345.4,1036.2,"muy común"
240,"Pltano","Alto (> 8 mts)",190,"Grande",-68.8385866556,-32.8705625296,"4",0,"medio",596.6,596.6,"muy común"
242,"Pltano","Alto (> 8 mts)",138,"Grande",-68.8387310619,-32.8705730005,"4",0,"medio",433.32,433.32,"muy común"
245,"Pltano","Alto (> 8 mts)",165,"Grande",-68.8389966337,-32.8705933864,"4",0,"medio",518.1,518.1,"muy común"
246,"Pltano","Alto (> 8 mts)",168,"Grande",-68.8390639607,-32.8706005035,"4",0,"medio",527.52,527.52,"muy común"
247,"Pltano","Alto (> 8 mts)",160,"Grande",-68.8391601435,-32.8706087407,"4",0,"medio",502.4,502.4,"muy común"
248,"Olmo bola","Medio (4 - 8 mts)",90,"Grande",-68.8393277792,-32.8706203274,"4",0,"bajo",282.6,847.8,"muy común"
250,"Morera","Muy bajo (1 - 2 mts)",4,"Chico",-68.8223482065,-32.8669830912,"4",0,"bajo",12.56,50.24,"muy raro"
252,"Morera","Muy bajo (1 - 2 mts)",4,"Chico",-68.822199023,-32.8669862615,"4",0,"bajo",12.56,50.24,"muy raro"
253,"Paraiso sombrilla","Medio (4 - 8 mts)",150,"Grande",-68.8221276323,-32.8669915711,"4",0,"medio",471,1413,"muy común"
259,"Fresno europeo","Muy bajo (1 - 2 mts)",12,"Chico",-68.8220074972,-32.8668966448,"4",0,"bajo",37.68,150.72,"muy raro"
260,"Fresno europeo","Medio (4 - 8 mts)",130,"Grande",-68.8220845592,-32.8668629328,"4",0,"medio",408.2,1224.6,"muy común"
262,"Fresno europeo","Medio (4 - 8 mts)",140,"Grande",-68.822237089,-32.8667900952,"4",0,"medio",439.6,1318.8,"muy común"
263,"Fresno europeo","Bajo (2 - 4 mts)",14,"Chico",-68.8223245902,-32.8667496333,"4",0,"bajo",43.96,87.92,"raro"
265,"Olmo bola","Medio (4 - 8 mts)",100,"Grande",-68.8224916781,-32.8667139353,"4",0,"bajo",314,942,"muy común"
266,"Morera","Medio (4 - 8 mts)",104,"Grande",-68.8225027702,-32.8667822706,"4",0,"medio",326.56,979.68,"normal"
268,"Paraiso sombrilla","Medio (4 - 8 mts)",150,"Grande",-68.8225191763,-32.8669136618,"4",0,"medio",471,1413,"muy común"
269,"Morera","Medio (4 - 8 mts)",150,"Grande",-68.821427173,-32.8672087923,"4",0,"medio",471,1413,"normal"
272,"Morera","Alto (> 8 mts)",135,"Grande",-68.8214511411,-32.8673961887,"4",1,"medio",423.9,423.9,"muy común"
277,"Morera","Alto (> 8 mts)",180,"Grande",-68.8214768818,-32.8676252287,"4",0,"medio",565.2,565.2,"muy común"
278,"Morera","Alto (> 8 mts)",160,"Grande",-68.8214852233,-32.8676646961,"4",0,"medio",502.4,502.4,"muy común"
281,"Morera","Alto (> 8 mts)",160,"Grande",-68.8215808436,-32.8677849418,"4",0,"medio",502.4,502.4,"muy común"
282,"Morera","Alto (> 8 mts)",90,"Grande",-68.8216323085,-32.8677826482,"4",0,"bajo",282.6,282.6,"muy común"
283,"Morera","Alto (> 8 mts)",180,"Grande",-68.8217530143,-32.8677780855,"4",1,"medio",565.2,565.2,"muy común"
284,"Morera","Alto (> 8 mts)",110,"Grande",-68.8218138388,-32.8677742263,"4",0,"medio",345.4,345.4,"muy común"
288,"Paraiso","Bajo (2 - 4 mts)",30,"Mediano",-68.8220327918,-32.8677674362,"4",0,"bajo",94.2,188.4,"raro"
291,"Morera","Alto (> 8 mts)",115,"Grande",-68.8222434259,-32.8677637637,"4",0,"medio",361.1,361.1,"muy común"
292,"Morera","Alto (> 8 mts)",160,"Grande",-68.8223463635,-32.8677552293,"4",0,"medio",502.4,502.4,"muy común"
293,"Morera","Alto (> 8 mts)",110,"Grande",-68.8224812194,-32.8677514353,"4",0,"medio",345.4,345.4,"muy común"
294,"Morera","Alto (> 8 mts)",170,"Grande",-68.8225719873,-32.8677460403,"4",0,"medio",533.8,533.8,"muy común"
295,"Fresno europeo","Bajo (2 - 4 mts)",120,"Grande",-68.8226190791,-32.8676765909,"4",1,"medio",376.8,753.6,"raro"
296,"Fresno europeo","Bajo (2 - 4 mts)",100,"Grande",-68.8226135503,-32.8676339708,"4",0,"bajo",314,628,"raro"
297,"Fresno europeo","Medio (4 - 8 mts)",140,"Grande",-68.8226052434,-32.8675699189,"4",0,"medio",439.6,1318.8,"muy común"
298,"Fresno europeo","Medio (4 - 8 mts)",120,"Grande",-68.8225960679,-32.8674655997,"4",0,"medio",376.8,1130.4,"muy común"
299,"Paraiso sombrilla","Bajo (2 - 4 mts)",30,"Mediano",-68.8225905469,-32.8674061891,"4",0,"bajo",94.2,188.4,"normal"
306,"Fresno europeo","Medio (4 - 8 mts)",105,"Grande",-68.8224011128,-32.8671097264,"4",0,"medio",329.7,989.1,"muy común"
308,"Fresno europeo","Alto (> 8 mts)",130,"Grande",-68.8222502473,-32.8671150395,"4",1,"medio",408.2,408.2,"normal"
310,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",-68.8221491965,-32.8671164738,"4",0,"bajo",314,942,"muy común"
311,"Acer","Medio (4 - 8 mts)",120,"Grande",-68.8220301975,-32.8671218446,"4",0,"medio",376.8,1130.4,"muy común"
313,"Fresno europeo","Medio (4 - 8 mts)",35,"Mediano",-68.8218158077,-32.8671278738,"4",0,"bajo",109.9,329.7,"muy común"
